declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,C,county/county-equivalent,185,TAZEWELL,0,0,1500000.0,0.0,"Flash Flood, Flood",2,1500000.0
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,C,county/county-equivalent,173,SMYTH,0,0,100000.0,0.0,"Flash Flood, Flood",2,100000.0
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,C,county/county-equivalent,197,WYTHE,0,0,50000.0,0.0,"Flash Flood, Flood",2,50000.0
VA-WARNER-EO-10-2002,EO-10,Mark R. Warner,Executive Order 10 (2002) Declaration of a State of Emergency for the Commonwealth of Virginia Due to Significant Rainfall and Flooding Throughout Southwest Virginia.,2002-03-21,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827956005756&context=L&vid=01LVA_INST%3A01LVA&lang=en,C,county/county-equivalent,155,PULASKI,0,0,0.0,0.0,Flood,1,0.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,33,FRANKLIN,0,0,3000.0,0.0,High Wind,1,3000.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,16,CARROLL / GALAX,0,0,0.0,0.0,"Ice Storm, Winter Storm",2,0.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,17,FLOYD,0,0,0.0,0.0,Winter Storm,1,0.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,20,BATH,0,0,0.0,0.0,Ice Storm,1,0.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,21,HIGHLAND,0,0,0.0,0.0,Ice Storm,1,0.0
VA-WARNER-EO-38-2002,EO-38,Mark R. Warner,Executive Order 38 (2002) Declaration of a State of Emergency in the Commonwealth of Virginia Due to Severe Ice Conditions.,2002-12-11,https://lva.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma9917827941405756&context=L&vid=01LVA_INST%3A01LVA&lang=en,Z,NWS forecast zone,23,BOTETOURT,0,0,0.0,0.0,Ice Storm,1,0.0
